# 中央军委车牌(V)
# http://auto.sina.com.cn/service/2013-05-03/18111149551_2.shtml

VA,军委总参
VB,总政治部
VC,总后勤部
VD,总装备部
VE,军事科学院
VF,国防大学
VG,国防科技大学
VR,陆军军事学院
VT,总参三部
VV,第二炮兵司令部
VK,总后直属单位
VM,总部联勤部门
VO,总部军车监理

# 中央军委及四总部直属单位(Z)
ZA,总参谋部二级部
ZB,总政治部二级部
ZC,总后勤部二级部
ZD,总装备部二级部
ZE,军事科学院
ZF,国防大学
ZG,国防科技大学
ZK,总后勤部直属单位
ZM,军委联勤部门
ZO,军委军车监理
ZR,直属在京军事院校
ZT,总参三部
ZY,总部直属院校

# 海军(H)
HA,司令部
HB,政治部
HC,后勤部
HD,装备部
HE,北海舰队
HF,东海舰队
HG,南海舰队
HL,舰队航空兵部
HO,海军军车监理
HR,海军军事院校

# 空军(K)
KA,司令部
KB,政治部
KC,后勤部
KD,装备部
KE,沈阳军区空军
KF,北京军区空军
KG,兰州军区空军
KH,济南军区空军
KJ,广州军区空军
KK,成都军区空军
KM,第十五空降军
KO,空军军车监理
KR,空军军事院校
KU,南京军区空军
KL,空军直属单位
KN,空军直属单位
KZ,空军直属单位

# 火箭军(E)
EA,司令部
EB,政治部
EC,军后勤部
ED,装备部

# 北京军区(B)
BA,司令部
BB,政治部
BC,联勤部
BD,装备部
BG,总后驻军区部队
BH,总装驻军区部队
BS,通讯/运输部队
BR,总部院校
BK,警备区
BJ,军代机构
BL,机动牌
BM,联勤分部
BN,总装机构
BO,军车监理
BP,装甲部队
BT,情报机构部队
BV,战略导弹部队
BY,野战部队/集团军

# 沈阳军区(S)
SA,司令部
SS,政治部
SC,联勤部
SD,装备部
SG,总后驻军区部队
SH,总装驻军区部队
SS,通讯/运输部队
SR,总部院校
SK,警备区
SJ,军代机构
SL,机动牌
SM,联勤分部
SN,总装机构
SO,军车监理
SP,装甲部队
ST,情报机构部队
SV,战略导弹部队
SY,野战部队/集团军

# 兰州军区(L)
LA,司令部
LL,政治部
LC,联勤部
LD,装备部
LG,总后驻军区部队
LH,总装驻军区部队
LS,通讯/运输部队
LR,总部院校
LK,警备区
LJ,军代机构
LL,机动牌
LM,联勤分部
LN,总装机构
LO,军车监理
LP,装甲部队
LT,情报机构部队
LV,战略导弹部队
LY,野战部队/集团军

# 济南军区(J)
JA,司令部
JJ,政治部
JC,联勤部
JD,装备部
JG,总后驻军区部队
JH,总装驻军区部队
JS,通讯/运输部队
JR,总部院校
JK,警备区
JJ,军代机构
JL,机动牌
JM,联勤分部
JN,总装机构
JO,军车监理
JP,装甲部队
JT,情报机构部队
JV,战略导弹部队
JY,野战部队/集团军

# 南京军区(N)
NA,司令部
NN,政治部
NC,联勤部
ND,装备部
NG,总后驻军区部队
NH,总装驻军区部队
NS,通讯/运输部队
NR,总部院校
NK,警备区
NJ,军代机构
NL,机动牌
NM,联勤分部
NN,总装机构
NO,军车监理
NP,装甲部队
NT,情报机构部队
NV,战略导弹部队
NY,野战部队/集团军

# 广州军区(G)
GA,司令部
GG,政治部
GC,联勤部
GD,装备部
GG,总后驻军区部队
GH,总装驻军区部队
GS,通讯/运输部队
GR,总部院校
GK,警备区
GJ,军代机构
GL,机动牌
GM,联勤分部
GN,总装机构
GO,军车监理
GP,装甲部队
GT,情报机构部队
GV,战略导弹部队
GY,野战部队/集团军

# 成都军区(C)
CA,司令部
CC,政治部
CC,联勤部
CD,装备部
CG,总后驻军区部队
CH,总装驻军区部队
CS,通讯/运输部队
CR,总部院校
CK,警备区
CJ,军代机构
CL,机动牌
CM,联勤分部
CN,总装机构
CO,军车监理
CP,装甲部队
CT,情报机构部队
CV,战略导弹部队
CY,野战部队/集团军

# 驻港澳部队
ZG,驻港部队
ZA,驻澳部队

# 战区
QD,东部战区
QX,西部战区
QN,南部战区
QB,北部战区
QZ,中部战区
